Terminal voltage [V],Current [A],X-averaged positive particle surface concentration [mol.m-3],X-averaged negative particle surface concentration [mol.m-3],Time [s],X-averaged negative electrode reaction overpotential [V],X-averaged positive electrode reaction overpotential [V],X-averaged electrolyte ohmic losses [V],X-averaged electrolyte overpotential [V],X-averaged negative electrode ohmic losses [V],X-averaged positive electrode ohmic losses [V],X-averaged negative electrolyte concentration [mol.m-3],X-averaged positive electrolyte concentration [mol.m-3],X-averaged battery open circuit voltage [V]
3.5359975290967482,5.0,25239.324820591282,4992.653214608405,399.9999999999999,0.034344396785768325,-0.010204181508360706,-0.005799696646643625,-0.008619726295274719,-1.058067902194768e-05,-1.8342389956498118e-05,1045.632848018089,957.1046836189392,3.5891946378514072
3.5886100232163933,0.0,25148.341553091028,5059.410566821478,400.9999999999999,0.0,0.0,0.0,-0.0023919546907375105,0.0,0.0,1038.677227149682,963.5848232794132,3.5910019779071307
3.5896558972970523,0.0,25113.243730334645,5084.329555948889,401.9999999999999,0.0,0.0,0.0,-0.0020442339893214367,0.0,0.0,1033.0366852996772,968.8612822791202,3.591700131286373
3.590388208201202,0.0,25091.65657894456,5099.815237223742,402.9999999999999,0.0,0.0,0.0,-0.0017501850847339365,0.0,0.0,1028.2732974649898,973.3291529275355,3.592138393285936
3.5909524174429235,0.0,25076.488601287398,5110.806875671195,403.9999999999999,0.0,0.0,0.0,-0.0014991788397342998,0.0,0.0,1024.2115440550517,977.147332072122,3.592451596282658
3.5914007688908893,0.0,25065.348384375553,5118.972492923944,404.99999999999983,0.0,0.0,0.0,-0.0012844546591577674,0.0,0.0,1020.7396532981159,980.4164355020242,3.5926852235500473
3.5917638590574663,0.0,25056.92658315571,5125.226395211936,405.99999999999983,0.0,0.0,0.0,-0.0011006191352175704,0.0,0.0,1017.7688398005052,983.2169866671177,3.592864478192684
3.5920629569760836,0.0,25050.369608976085,5130.165611622172,406.99999999999983,0.0,0.0,0.0,-0.0009431077354451062,0.0,0.0,1015.224392975416,985.617531596225,3.5930060647115285
3.592311032926847,0.0,25045.21112216496,5134.11754736701,407.9999999999999,0.0,0.0,0.0,-0.0008081179737994132,0.0,0.0,1013.0443357549327,987.6754273646196,3.5931191509006464
3.59251680506088,0.0,25041.17155659631,5137.279042438153,408.9999999999999,0.0,0.0,0.0,-0.0006924449530345267,0.0,0.0,1011.1765960544956,989.4391883977527,3.5932092500139143
